ExpName	Shape	Gather(ms)	Cell-GEMM(ms)	Cell-Elementwise(ms)	Scatter(ms)	Total(ms)
FractalTensor	[32, 256, 10, 10, 32]	6.870	35.367	1.698	1.970	45.905
FractalTensor	[32, 512, 10, 10, 32]	17.325	76.903	2.175	2.620	99.023
FractalTensor	[32, 1024, 10, 10, 32]	57.419	217.616	3.229	4.000	282.264
FractalTensor	[32, 256, 10, 10, 1]	0.182	1.783	0.000	0.181	2.146
FractalTensor	[32, 256, 10, 10, 2]	1.154	6.190	0.182	0.536	8.062
FractalTensor	[32, 256, 10, 10, 4]	1.512	9.994	0.421	0.627	12.554
FractalTensor	[32, 256, 10, 10, 8]	2.275	12.830	0.602	0.805	16.513
FractalTensor	[32, 256, 10, 10, 16]	3.803	20.880	0.947	1.191	26.820
FractalTensor	[32, 256, 10, 10, 32]	6.875	35.403	1.699	1.964	45.942
FractalTensor	[32, 1024, 10, 10, 1]	0.226	3.780	0.000	0.245	4.252
FractalTensor	[32, 1024, 10, 10, 2]	2.988	17.164	0.206	0.656	21.015
FractalTensor	[32, 1024, 10, 10, 4]	6.397	38.986	0.552	0.865	46.799
FractalTensor	[32, 1024, 10, 10, 8]	13.901	66.873	0.938	1.312	83.025
FractalTensor	[32, 1024, 10, 10, 16]	28.544	118.070	1.712	2.218	150.545
FractalTensor	[32, 1024, 10, 10, 32]	57.467	217.644	3.258	4.018	282.388
FractalTensor	[32, 256, 5, 5, 32]	3.077	24.675	1.237	1.212	30.200
FractalTensor	[32, 256, 7, 7, 32]	4.382	27.139	1.383	1.482	34.386
FractalTensor	[32, 256, 10, 10, 32]	6.854	35.270	1.696	1.985	45.804
FractalTensor	[32, 1024, 5, 5, 32]	12.132	102.550	1.528	1.674	117.884
FractalTensor	[32, 1024, 7, 7, 32]	27.295	134.700	2.007	2.386	166.388
FractalTensor	[32, 1024, 10, 10, 32]	57.427	217.728	3.226	3.994	282.374
