depth	[seq_length, batch_size, hidden_size]	[kTM, kTN, kTK]	Ours(ms)	CuDNN(ms)
32	[64, 256, 256]	[64, 64, 64]	4.7615	16.0106
32	[64, 256, 512]	[64, 64, 64]	7.2451	20.1779
32	[64, 256, 1024]	[64, 64, 64]	11.7726	48.7145
1	[64, 256, 256]	[32, 32, 64]	0.8106	0.8188
2	[64, 256, 256]	[64, 64, 64]	2.9770	1.1461
4	[64, 256, 256]	[64, 64, 64]	3.0835	2.0048
8	[64, 256, 256]	[64, 64, 64]	3.3578	4.0393
16	[64, 256, 256]	[64, 64, 64]	3.8240	7.8055
32	[64, 256, 256]	[64, 64, 64]	4.6972	16.4530
1	[64, 256, 1024]	[32, 64, 64]	2.0594	2.6690
2	[64, 256, 1024]	[64, 64, 64]	7.4091	3.5154
4	[64, 256, 1024]	[64, 64, 64]	7.6936	5.9994
8	[64, 256, 1024]	[64, 64, 64]	8.2519	12.1086
16	[64, 256, 1024]	[64, 64, 64]	9.5669	24.7249
32	[64, 256, 1024]	[64, 64, 64]	11.7850	48.8090
32	[32, 256, 256]	[64, 64, 64]	3.1143	7.8834
32	[64, 256, 256]	[64, 64, 64]	4.7189	15.6140
32	[128, 256, 256]	[64, 64, 64]	7.8654	31.3068
32	[32, 256, 1024]	[64, 64, 64]	7.8991	24.9905
32	[64, 256, 1024]	[64, 64, 64]	11.7192	48.7105
32	[128, 256, 1024]	[64, 64, 64]	19.5050	96.7770
1	[64, 256, 256]	[64, 64, 64]	1.0697	0.8159
4	[64, 256, 256]	[64, 64, 64]	3.1790	2.0029
8	[64, 256, 256]	[64, 64, 64]	3.3780	4.0053
12	[64, 256, 256]	[64, 64, 64]	3.6261	6.2429
16	[64, 256, 256]	[64, 64, 64]	3.8483	7.7834
20	[64, 256, 256]	[64, 64, 64]	4.0645	9.7972
