depth	[seq_length, batch_size, hidden_size]	PyTorch(ms)
32	[64, 256, 256]	124.17935791015626
32	[64, 256, 512]	141.54219970703124
32	[64, 256, 1024]	230.597119140625
1	[64, 256, 256]	4.381798553466797
2	[64, 256, 256]	6.854041290283203
4	[64, 256, 256]	15.143629455566407
8	[64, 256, 256]	29.80628356933594
16	[64, 256, 256]	61.113037109375
32	[64, 256, 256]	128.7858154296875
1	[64, 256, 1024]	4.014284896850586
2	[64, 256, 1024]	7.689523315429687
4	[64, 256, 1024]	15.762739562988282
8	[64, 256, 1024]	31.989862060546876
16	[64, 256, 1024]	67.66438598632813
32	[64, 256, 1024]	227.614404296875
32	[32, 256, 256]	67.14122314453125
32	[64, 256, 256]	126.0353515625
32	[128, 256, 256]	248.494189453125
32	[32, 256, 1024]	117.1430419921875
32	[64, 256, 1024]	224.7454833984375
32	[128, 256, 1024]	443.2126953125
1	[64, 256, 256]	4.631756973266602
4	[64, 256, 256]	16.38225860595703
8	[64, 256, 256]	32.51568603515625
12	[64, 256, 256]	44.04756469726563
16	[64, 256, 256]	60.22799072265625
20	[64, 256, 256]	75.29564208984375
