depth	[seq_length, batch_size, hidden_size]	Tensorflow-whileop(ms)
1	[64, 256, 256]	9.18278694152832
4	[64, 256, 256]	33.6411714553833
8	[64, 256, 256]	66.71652793884277
12	[64, 256, 256]	100.51593780517578
16	[64, 256, 256]	135.1203441619873
20	[64, 256, 256]	170.88558673858643
depth	[seq_length, batch_size, hidden_size]	Tensorflow-graphmode(ms)
1	[64, 256, 256]	20.537257194519043
4	[64, 256, 256]	45.98813056945801
8	[64, 256, 256]	81.73978328704834
12	[64, 256, 256]	118.55194568634033
16	[64, 256, 256]	157.69598484039307
20	[64, 256, 256]	196.75519466400146
