depth	[seq_length, batch_size, hidden_size]	Triton(ms)
6	[50, 256, 256]	8.565657806396484
6	[50, 256, 512]	8.954061126708984
6	[50, 256, 1024]	20.251545715332032
1	[50, 256, 256]	4.1366527557373045
2	[50, 256, 256]	6.3643646240234375
3	[50, 256, 256]	7.598796844482422
4	[50, 256, 256]	8.507596588134765
5	[50, 256, 256]	8.772505950927734
6	[50, 256, 256]	9.280409240722657
1	[50, 256, 1024]	4.298137664794922
2	[50, 256, 1024]	7.536332702636718
3	[50, 256, 1024]	10.384690856933593
4	[50, 256, 1024]	13.401190185546875
5	[50, 256, 1024]	16.70645751953125
6	[50, 256, 1024]	20.02800598144531
6	[32, 256, 256]	6.383820724487305
6	[64, 256, 256]	11.447808074951173
6	[128, 256, 256]	20.754637145996092
6	[32, 256, 1024]	11.644416046142577
6	[64, 256, 1024]	23.37464294433594
6	[128, 256, 1024]	47.06641845703125
