depth	[seq_length, batch_size, hidden_size]	Triton(ms)
32	[10, 10, 32, 256]	459.27177734375
32	[10, 10, 32, 512]	464.0466796875
32	[10, 10, 32, 1024]	463.13984375
1	[10, 10, 32, 256]	13.405183410644531
2	[10, 10, 32, 256]	26.138726806640626
4	[10, 10, 32, 256]	56.1586181640625
8	[10, 10, 32, 256]	114.53153076171876
16	[10, 10, 32, 256]	226.562353515625
32	[10, 10, 32, 256]	456.597607421875
1	[10, 10, 32, 1024]	13.37733154296875
2	[10, 10, 32, 1024]	27.69776611328125
4	[10, 10, 32, 1024]	55.03314208984375
8	[10, 10, 32, 1024]	109.86854248046875
16	[10, 10, 32, 1024]	214.7880859375
32	[10, 10, 32, 1024]	430.1576171875
32	[5, 5, 32, 256]	108.6319580078125
32	[7, 7, 32, 256]	210.3509033203125
32	[10, 10, 32, 256]	427.046826171875
32	[5, 5, 32, 1024]	109.6226806640625
32	[7, 7, 32, 1024]	212.0945556640625
32	[10, 10, 32, 1024]	426.985986328125
